
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.9883333333333333
Moves per Temperature: 2000
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=2032754.33 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 72/2000 (3.6%) | Refine: 1400/1400 (100.0%) | Explore: 600/600 (100.0%)
T=11172117776.45 | W=410.0um | Current HPWL=4275911.05 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 475/2000 (23.8%) | Refine: 15298/15298 (100.0%) | Explore: 6702/6702 (100.0%)
T=9935047210.73 | W=335.0um | Current HPWL=4700671.51 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 491/2000 (24.6%) | Refine: 29260/29260 (100.0%) | Explore: 12740/12740 (100.0%)
T=8834955471.69 | W=273.7um | Current HPWL=4879538.17 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 556/2000 (27.8%) | Refine: 43210/43210 (100.0%) | Explore: 18790/18790 (100.0%)
T=7856675114.98 | W=223.7um | Current HPWL=5048859.86 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 546/2000 (27.3%) | Refine: 57149/57149 (100.0%) | Explore: 24851/24851 (100.0%)
T=6986718162.89 | W=182.7um | Current HPWL=5100791.44 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 576/2000 (28.8%) | Refine: 71169/71169 (100.0%) | Explore: 30831/30831 (100.0%)
T=6213090139.69 | W=149.3um | Current HPWL=5159333.64 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 559/2000 (28.0%) | Refine: 85042/85042 (100.0%) | Explore: 36958/36958 (100.0%)
T=5525124698.60 | W=122.0um | Current HPWL=5187460.47 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 563/2000 (28.1%) | Refine: 99039/99039 (100.0%) | Explore: 42961/42961 (100.0%)
T=4913336560.19 | W=100.4um | Current HPWL=5214965.95 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 578/2000 (28.9%) | Refine: 112879/112879 (100.0%) | Explore: 49121/49121 (100.0%)
T=4369290734.70 | W=100.4um | Current HPWL=5231122.99 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 589/2000 (29.4%) | Refine: 126950/126950 (100.0%) | Explore: 55050/55050 (100.0%)
T=3885486225.20 | W=100.4um | Current HPWL=5265951.79 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 575/2000 (28.7%) | Refine: 140981/140981 (100.0%) | Explore: 61019/61019 (100.0%)
T=3455252608.00 | W=100.4um | Current HPWL=5275120.59 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 593/2000 (29.6%) | Refine: 154931/154931 (100.0%) | Explore: 67069/67069 (100.0%)
T=3072658064.69 | W=100.4um | Current HPWL=5278812.24 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 542/2000 (27.1%) | Refine: 168983/168983 (100.0%) | Explore: 73017/73017 (100.0%)
T=2732427597.52 | W=100.4um | Current HPWL=5310451.35 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 563/2000 (28.1%) | Refine: 182979/182979 (100.0%) | Explore: 79021/79021 (100.0%)
T=2429870300.73 | W=100.4um | Current HPWL=5348003.02 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 552/2000 (27.6%) | Refine: 196946/196946 (100.0%) | Explore: 85054/85054 (100.0%)
T=2160814684.98 | W=100.4um | Current HPWL=5343557.50 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 547/2000 (27.4%) | Refine: 210844/210844 (100.0%) | Explore: 91156/91156 (100.0%)
T=1921551163.22 | W=100.4um | Current HPWL=5358446.68 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 548/2000 (27.4%) | Refine: 224868/224868 (100.0%) | Explore: 97132/97132 (100.0%)
T=1708780904.96 | W=100.4um | Current HPWL=5414062.51 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 529/2000 (26.5%) | Refine: 238909/238909 (100.0%) | Explore: 103091/103091 (100.0%)
