
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.986111111111111
Moves per Temperature: 1833
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=1953801.39 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 66/1833 (3.6%) | Refine: 1270/1270 (100.0%) | Explore: 563/563 (100.0%)
T=10923444298.92 | W=410.0um | Current HPWL=4138841.23 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 423/1833 (23.1%) | Refine: 14095/14095 (100.0%) | Explore: 6068/6068 (100.0%)
T=9497692865.29 | W=335.0um | Current HPWL=4543171.09 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 475/1833 (25.9%) | Refine: 26992/26992 (100.0%) | Explore: 11501/11501 (100.0%)
T=8258033573.92 | W=273.7um | Current HPWL=4774907.62 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 470/1833 (25.6%) | Refine: 39818/39818 (100.0%) | Explore: 17005/17005 (100.0%)
T=7180177278.34 | W=223.7um | Current HPWL=4888156.41 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 508/1833 (27.7%) | Refine: 52643/52643 (100.0%) | Explore: 22510/22510 (100.0%)
T=6243005103.69 | W=182.7um | Current HPWL=4978764.92 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 489/1833 (26.7%) | Refine: 65414/65414 (100.0%) | Explore: 28069/28069 (100.0%)
T=5428154656.04 | W=149.3um | Current HPWL=5026027.54 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 502/1833 (27.4%) | Refine: 78210/78210 (100.0%) | Explore: 33603/33603 (100.0%)
T=4719660240.63 | W=122.0um | Current HPWL=5062403.67 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 517/1833 (28.2%) | Refine: 90971/90971 (100.0%) | Explore: 39172/39172 (100.0%)
T=4103640039.48 | W=100.4um | Current HPWL=5093820.69 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 532/1833 (29.0%) | Refine: 103713/103713 (100.0%) | Explore: 44760/44760 (100.0%)
T=3568024119.32 | W=100.4um | Current HPWL=5105285.73 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 514/1833 (28.0%) | Refine: 116578/116578 (100.0%) | Explore: 50225/50225 (100.0%)
T=3102317940.56 | W=100.4um | Current HPWL=5122050.48 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 486/1833 (26.5%) | Refine: 129431/129431 (100.0%) | Explore: 55702/55702 (100.0%)
T=2697396733.45 | W=100.4um | Current HPWL=5113249.03 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 528/1833 (28.8%) | Refine: 142230/142230 (100.0%) | Explore: 61233/61233 (100.0%)
T=2345326712.81 | W=100.4um | Current HPWL=5155532.05 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 475/1833 (25.9%) | Refine: 155040/155040 (100.0%) | Explore: 66753/66753 (100.0%)
T=2039209628.16 | W=100.4um | Current HPWL=5155044.69 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 529/1833 (28.9%) | Refine: 167847/167847 (100.0%) | Explore: 72276/72276 (100.0%)
T=1773047603.50 | W=100.4um | Current HPWL=5168050.60 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 486/1833 (26.5%) | Refine: 180687/180687 (100.0%) | Explore: 77766/77766 (100.0%)
T=1541625618.51 | W=100.4um | Current HPWL=5188648.97 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 514/1833 (28.0%) | Refine: 193484/193484 (100.0%) | Explore: 83299/83299 (100.0%)
T=1340409328.52 | W=100.4um | Current HPWL=5238422.80 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 521/1833 (28.4%) | Refine: 206223/206223 (100.0%) | Explore: 88890/88890 (100.0%)
T=1165456221.29 | W=100.4um | Current HPWL=5223787.27 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 493/1833 (26.9%) | Refine: 219038/219038 (100.0%) | Explore: 94405/94405 (100.0%)
T=1013338369.73 | W=100.4um | Current HPWL=5236337.75 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 526/1833 (28.7%) | Refine: 231804/231804 (100.0%) | Explore: 99969/99969 (100.0%)
T=881075267.19 | W=100.4um | Current HPWL=5236011.64 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 500/1833 (27.3%) | Refine: 244567/244567 (100.0%) | Explore: 105536/105536 (100.0%)
T=766075429.14 | W=100.4um | Current HPWL=5255229.25 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 490/1833 (26.7%) | Refine: 257469/257469 (100.0%) | Explore: 110964/110964 (100.0%)
